Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:30:24+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 2.06, 2.51, 3.64
-----------------------------------------------------------------------------------------------------
Benchmark                                                           Time             CPU   Iterations
-----------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                            350 ns          344 ns            3
BM_StdVectorPush/10/iterations:30_median                          207 ns          200 ns            3
BM_StdVectorPush/10/iterations:30_stddev                          255 ns          250 ns            3
BM_StdVectorPush/10/iterations:30_cv                            72.86 %         72.63 %             3
BM_StdVectorPush/100/iterations:30_mean                           509 ns          489 ns            3
BM_StdVectorPush/100/iterations:30_median                         401 ns          367 ns            3
BM_StdVectorPush/100/iterations:30_stddev                         240 ns          271 ns            3
BM_StdVectorPush/100/iterations:30_cv                           47.21 %         55.53 %             3
BM_StdVectorPush/1000/iterations:30_mean                         1239 ns         1244 ns            3
BM_StdVectorPush/1000/iterations:30_median                       1181 ns         1167 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                        208 ns          227 ns            3
BM_StdVectorPush/1000/iterations:30_cv                          16.81 %         18.23 %             3
BM_StdVectorPush/10000/iterations:30_mean                        9423 ns         9400 ns            3
BM_StdVectorPush/10000/iterations:30_median                      9240 ns         9233 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                       586 ns          569 ns            3
BM_StdVectorPush/10000/iterations:30_cv                          6.22 %          6.05 %             3
BM_StdVectorPush/100000/iterations:30_mean                      83967 ns        83522 ns            3
BM_StdVectorPush/100000/iterations:30_median                    85404 ns        84100 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                     3352 ns         3173 ns            3
BM_StdVectorPush/100000/iterations:30_cv                         3.99 %          3.80 %             3
BM_StdVectorPush/1000000/iterations:30_mean                    744835 ns       743156 ns            3
BM_StdVectorPush/1000000/iterations:30_median                  719744 ns       718700 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                   46712 ns        45925 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                        6.27 %          6.18 %             3
BM_StdVectorPush/10000000/iterations:30_mean                  8120090 ns      8105222 ns            3
BM_StdVectorPush/10000000/iterations:30_median                7949413 ns      7949400 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev                 297994 ns       277606 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                       3.67 %          3.43 %             3
