Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:34:31+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 1.89, 2.33, 2.61
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          367 ns          367 ns            3
BM_StdVectorPush/10/iterations:30_median                        326 ns          333 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        185 ns          186 ns            3
BM_StdVectorPush/10/iterations:30_cv                          50.48 %         50.62 %             3
BM_StdVectorPush/100/iterations:30_mean                         720 ns          733 ns            3
BM_StdVectorPush/100/iterations:30_median                       585 ns          600 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       247 ns          231 ns            3
BM_StdVectorPush/100/iterations:30_cv                         34.30 %         31.49 %             3
BM_StdVectorPush/1000/iterations:30_mean                       3095 ns         3100 ns            3
BM_StdVectorPush/1000/iterations:30_median                     3179 ns         3167 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      197 ns          208 ns            3
BM_StdVectorPush/1000/iterations:30_cv                         6.35 %          6.72 %             3
BM_StdVectorPush/10000/iterations:30_mean                     26964 ns        26956 ns            3
BM_StdVectorPush/10000/iterations:30_median                   26750 ns        26733 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     405 ns          414 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        1.50 %          1.54 %             3
BM_StdVectorPush/100000/iterations:30_mean                   266761 ns       265422 ns            3
BM_StdVectorPush/100000/iterations:30_median                 266279 ns       263633 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   4211 ns         4212 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       1.58 %          1.59 %             3
BM_StdVectorPush/1000000/iterations:30_mean                 2642950 ns      2638878 ns            3
BM_StdVectorPush/1000000/iterations:30_median               2634550 ns      2631967 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 20889 ns        19571 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      0.79 %          0.74 %             3
BM_StdVectorPush/10000000/iterations:30_mean               28451775 ns     28087200 ns            3
BM_StdVectorPush/10000000/iterations:30_median             28134776 ns     28131633 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               665076 ns        79719 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     2.34 %          0.28 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     387 ns          389 ns            3
BM_ConstantVectorPush/10/iterations:30_median                   158 ns          133 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   429 ns          443 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                    110.85 %        113.82 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    342 ns          344 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  332 ns          333 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 34.5 ns         19.2 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    10.07 %          5.59 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                  2670 ns         2656 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                2654 ns         2633 ns            3
