Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:38:44+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.53, 2.59, 2.62
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          278 ns          256 ns            3
BM_StdVectorPush/10/iterations:30_median                        283 ns          267 ns            3
BM_StdVectorPush/10/iterations:30_stddev                       75.8 ns         83.9 ns            3
BM_StdVectorPush/10/iterations:30_cv                          27.25 %         32.83 %             3
BM_StdVectorPush/100/iterations:30_mean                         647 ns          667 ns            3
BM_StdVectorPush/100/iterations:30_median                       603 ns          633 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       120 ns          120 ns            3
BM_StdVectorPush/100/iterations:30_cv                         18.57 %         18.03 %             3
BM_StdVectorPush/1000/iterations:30_mean                       2969 ns         2978 ns            3
BM_StdVectorPush/1000/iterations:30_median                     2829 ns         2833 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      264 ns          250 ns            3
BM_StdVectorPush/1000/iterations:30_cv                         8.88 %          8.40 %             3
BM_StdVectorPush/10000/iterations:30_mean                     26967 ns        26978 ns            3
BM_StdVectorPush/10000/iterations:30_median                   26968 ns        26967 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                    25.7 ns         19.2 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        0.10 %          0.07 %             3
BM_StdVectorPush/100000/iterations:30_mean                   259336 ns       258644 ns            3
BM_StdVectorPush/100000/iterations:30_median                 258874 ns       258567 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   2337 ns         1585 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       0.90 %          0.61 %             3
BM_StdVectorPush/1000000/iterations:30_mean                 2566363 ns      2561811 ns            3
BM_StdVectorPush/1000000/iterations:30_median               2567724 ns      2563567 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 20944 ns        16304 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      0.82 %          0.64 %             3
BM_StdVectorPush/10000000/iterations:30_mean               27504729 ns     27497711 ns            3
BM_StdVectorPush/10000000/iterations:30_median             27526689 ns     27515500 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               324968 ns       322418 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     1.18 %          1.17 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     277 ns          289 ns            3
