Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T02:05:18+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.09, 3.17, 2.79
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          369 ns          344 ns            3
BM_StdVectorPush/10/iterations:30_median                        389 ns          367 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        125 ns          135 ns            3
BM_StdVectorPush/10/iterations:30_cv                          33.88 %         39.11 %             3
BM_StdVectorPush/100/iterations:30_mean                         461 ns          467 ns            3
BM_StdVectorPush/100/iterations:30_median                       382 ns          367 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       161 ns          173 ns            3
BM_StdVectorPush/100/iterations:30_cv                         34.95 %         37.12 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1136 ns         1122 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1061 ns         1067 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      133 ns          126 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        11.69 %         11.25 %             3
BM_StdVectorPush/10000/iterations:30_mean                      8899 ns         8878 ns            3
BM_StdVectorPush/10000/iterations:30_median                    8754 ns         8733 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     492 ns          499 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        5.53 %          5.62 %             3
BM_StdVectorPush/100000/iterations:30_mean                    77425 ns        77100 ns            3
BM_StdVectorPush/100000/iterations:30_median                  77232 ns        77133 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   3412 ns         2983 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       4.41 %          3.87 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  721447 ns       721067 ns            3
BM_StdVectorPush/1000000/iterations:30_median                704715 ns       704700 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 29439 ns        28840 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      4.08 %          4.00 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8159165 ns      8150900 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8031135 ns      8027733 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               255624 ns       247844 ns            3
