Unable to determine clock rate from sysctl: hw.cpufrequency: No such file or directory
This does not affect benchmark measurements, only the metadata output.
***WARNING*** Failed to set thread affinity. Estimated CPU frequency may be incorrect.
2025-12-23T01:50:37+05:30
Running ./benchmark.out
Run on (12 X 24 MHz CPU s)
CPU Caches:
  L1 Data 64 KiB
  L1 Instruction 128 KiB
  L2 Unified 4096 KiB (x12)
Load Average: 3.13, 2.37, 2.58
---------------------------------------------------------------------------------------------------
Benchmark                                                         Time             CPU   Iterations
---------------------------------------------------------------------------------------------------
BM_StdVectorPush/10/iterations:30_mean                          372 ns          344 ns            3
BM_StdVectorPush/10/iterations:30_median                        335 ns          300 ns            3
BM_StdVectorPush/10/iterations:30_stddev                        205 ns          204 ns            3
BM_StdVectorPush/10/iterations:30_cv                          54.99 %         59.13 %             3
BM_StdVectorPush/100/iterations:30_mean                         493 ns          522 ns            3
BM_StdVectorPush/100/iterations:30_median                       425 ns          467 ns            3
BM_StdVectorPush/100/iterations:30_stddev                       173 ns          158 ns            3
BM_StdVectorPush/100/iterations:30_cv                         35.07 %         30.16 %             3
BM_StdVectorPush/1000/iterations:30_mean                       1230 ns         1233 ns            3
BM_StdVectorPush/1000/iterations:30_median                     1094 ns         1100 ns            3
BM_StdVectorPush/1000/iterations:30_stddev                      237 ns          231 ns            3
BM_StdVectorPush/1000/iterations:30_cv                        19.24 %         18.72 %             3
BM_StdVectorPush/10000/iterations:30_mean                      8991 ns         8989 ns            3
BM_StdVectorPush/10000/iterations:30_median                    8650 ns         8633 ns            3
BM_StdVectorPush/10000/iterations:30_stddev                     608 ns          645 ns            3
BM_StdVectorPush/10000/iterations:30_cv                        6.76 %          7.17 %             3
BM_StdVectorPush/100000/iterations:30_mean                    78464 ns        78100 ns            3
BM_StdVectorPush/100000/iterations:30_median                  79611 ns        78633 ns            3
BM_StdVectorPush/100000/iterations:30_stddev                   2443 ns         2215 ns            3
BM_StdVectorPush/100000/iterations:30_cv                       3.11 %          2.84 %             3
BM_StdVectorPush/1000000/iterations:30_mean                  730654 ns       730333 ns            3
BM_StdVectorPush/1000000/iterations:30_median                717640 ns       717467 ns            3
BM_StdVectorPush/1000000/iterations:30_stddev                 28922 ns        28594 ns            3
BM_StdVectorPush/1000000/iterations:30_cv                      3.96 %          3.92 %             3
BM_StdVectorPush/10000000/iterations:30_mean                8180600 ns      8177433 ns            3
BM_StdVectorPush/10000000/iterations:30_median              8111694 ns      8103400 ns            3
BM_StdVectorPush/10000000/iterations:30_stddev               155259 ns       156457 ns            3
BM_StdVectorPush/10000000/iterations:30_cv                     1.90 %          1.91 %             3
BM_ConstantVectorPush/10/iterations:30_mean                     502 ns          489 ns            3
BM_ConstantVectorPush/10/iterations:30_median                 100.0 ns        100.0 ns            3
BM_ConstantVectorPush/10/iterations:30_stddev                   707 ns          703 ns            3
BM_ConstantVectorPush/10/iterations:30_cv                    140.86 %        143.72 %             3
BM_ConstantVectorPush/100/iterations:30_mean                    181 ns          189 ns            3
BM_ConstantVectorPush/100/iterations:30_median                  124 ns          133 ns            3
BM_ConstantVectorPush/100/iterations:30_stddev                 99.4 ns         96.2 ns            3
BM_ConstantVectorPush/100/iterations:30_cv                    54.94 %         50.94 %             3
BM_ConstantVectorPush/1000/iterations:30_mean                   944 ns          944 ns            3
BM_ConstantVectorPush/1000/iterations:30_median                 925 ns          933 ns            3
BM_ConstantVectorPush/1000/iterations:30_stddev                 227 ns          217 ns            3
BM_ConstantVectorPush/1000/iterations:30_cv                   24.06 %         22.96 %             3
BM_ConstantVectorPush/10000/iterations:30_mean                 5094 ns         5078 ns            3
BM_ConstantVectorPush/10000/iterations:30_median               5374 ns         5367 ns            3
BM_ConstantVectorPush/10000/iterations:30_stddev                497 ns          500 ns            3
